dataset,type,perspective,src_img,src_state,tgt_img,tgt_state,action
CALVIN,robot,1st,images/ep_11966/frame_716440.png,states/ep_11966/state_716440.npy,images/ep_11966/frame_716445.png,states/ep_11966/state_716445.npy,actions/ep_11966/action_716440to716444.npy
CALVIN,robot,1st,images/ep_10763/frame_645188.png,states/ep_10763/state_645188.npy,images/ep_10763/frame_645193.png,states/ep_10763/state_645193.npy,actions/ep_10763/action_645188to645192.npy
CALVIN,robot,1st,images/ep_2385/frame_143550.png,states/ep_2385/state_143550.npy,images/ep_2385/frame_143555.png,states/ep_2385/state_143555.npy,actions/ep_2385/action_143550to143554.npy
CALVIN,robot,1st,images/ep_8423/frame_505658.png,states/ep_8423/state_505658.npy,images/ep_8423/frame_505663.png,states/ep_8423/state_505663.npy,actions/ep_8423/action_505658to505662.npy
CALVIN,robot,1st,images/ep_8675/frame_520244.png,states/ep_8675/state_520244.npy,images/ep_8675/frame_520249.png,states/ep_8675/state_520249.npy,actions/ep_8675/action_520244to520248.npy
CALVIN,robot,1st,images/ep_3989/frame_241466.png,states/ep_3989/state_241466.npy,images/ep_3989/frame_241471.png,states/ep_3989/state_241471.npy,actions/ep_3989/action_241466to241470.npy
CALVIN,robot,1st,images/ep_12885/frame_772640.png,states/ep_12885/state_772640.npy,images/ep_12885/frame_772645.png,states/ep_12885/state_772645.npy,actions/ep_12885/action_772640to772644.npy
CALVIN,robot,1st,images/ep_12780/frame_766394.png,states/ep_12780/state_766394.npy,images/ep_12780/frame_766399.png,states/ep_12780/state_766399.npy,actions/ep_12780/action_766394to766398.npy
CALVIN,robot,1st,images/ep_3076/frame_185953.png,states/ep_3076/state_185953.npy,images/ep_3076/frame_185958.png,states/ep_3076/state_185958.npy,actions/ep_3076/action_185953to185957.npy
CALVIN,robot,1st,images/ep_10466/frame_627023.png,states/ep_10466/state_627023.npy,images/ep_10466/frame_627028.png,states/ep_10466/state_627028.npy,actions/ep_10466/action_627023to627027.npy
CALVIN,robot,1st,images/ep_489/frame_030000.png,states/ep_489/state_030000.npy,images/ep_489/frame_030005.png,states/ep_489/state_030005.npy,actions/ep_489/action_030000to030004.npy
CALVIN,robot,1st,images/ep_5404/frame_324249.png,states/ep_5404/state_324249.npy,images/ep_5404/frame_324254.png,states/ep_5404/state_324254.npy,actions/ep_5404/action_324249to324253.npy
CALVIN,robot,1st,images/ep_7866/frame_473297.png,states/ep_7866/state_473297.npy,images/ep_7866/frame_473302.png,states/ep_7866/state_473302.npy,actions/ep_7866/action_473297to473301.npy
CALVIN,robot,1st,images/ep_16670/frame_999424.png,states/ep_16670/state_999424.npy,images/ep_16670/frame_999429.png,states/ep_16670/state_999429.npy,actions/ep_16670/action_999424to999428.npy
CALVIN,robot,1st,images/ep_8622/frame_517136.png,states/ep_8622/state_517136.npy,images/ep_8622/frame_517141.png,states/ep_8622/state_517141.npy,actions/ep_8622/action_517136to517140.npy
CALVIN,robot,1st,images/ep_21/frame_001309.png,states/ep_21/state_001309.npy,images/ep_21/frame_001314.png,states/ep_21/state_001314.npy,actions/ep_21/action_001309to001313.npy
CALVIN,robot,1st,images/ep_16349/frame_980010.png,states/ep_16349/state_980010.npy,images/ep_16349/frame_980015.png,states/ep_16349/state_980015.npy,actions/ep_16349/action_980010to980014.npy
CALVIN,robot,1st,images/ep_11713/frame_701102.png,states/ep_11713/state_701102.npy,images/ep_11713/frame_701107.png,states/ep_11713/state_701107.npy,actions/ep_11713/action_701102to701106.npy
CALVIN,robot,1st,images/ep_777/frame_046549.png,states/ep_777/state_046549.npy,images/ep_777/frame_046554.png,states/ep_777/state_046554.npy,actions/ep_777/action_046549to046553.npy
CALVIN,robot,1st,images/ep_7525/frame_452978.png,states/ep_7525/state_452978.npy,images/ep_7525/frame_452983.png,states/ep_7525/state_452983.npy,actions/ep_7525/action_452978to452982.npy
CALVIN,robot,1st,images/ep_2626/frame_158799.png,states/ep_2626/state_158799.npy,images/ep_2626/frame_158804.png,states/ep_2626/state_158804.npy,actions/ep_2626/action_158799to158803.npy
CALVIN,robot,1st,images/ep_1769/frame_106208.png,states/ep_1769/state_106208.npy,images/ep_1769/frame_106213.png,states/ep_1769/state_106213.npy,actions/ep_1769/action_106208to106212.npy
CALVIN,robot,1st,images/ep_899/frame_053920.png,states/ep_899/state_053920.npy,images/ep_899/frame_053925.png,states/ep_899/state_053925.npy,actions/ep_899/action_053920to053924.npy
CALVIN,robot,1st,images/ep_3085/frame_186523.png,states/ep_3085/state_186523.npy,images/ep_3085/frame_186528.png,states/ep_3085/state_186528.npy,actions/ep_3085/action_186523to186527.npy
CALVIN,robot,1st,images/ep_15109/frame_906236.png,states/ep_15109/state_906236.npy,images/ep_15109/frame_906241.png,states/ep_15109/state_906241.npy,actions/ep_15109/action_906236to906240.npy
CALVIN,robot,1st,images/ep_17755/frame_1064892.png,states/ep_17755/state_1064892.npy,images/ep_17755/frame_1064897.png,states/ep_17755/state_1064897.npy,actions/ep_17755/action_1064892to1064896.npy
CALVIN,robot,1st,images/ep_3899/frame_236108.png,states/ep_3899/state_236108.npy,images/ep_3899/frame_236113.png,states/ep_3899/state_236113.npy,actions/ep_3899/action_236108to236112.npy
CALVIN,robot,1st,images/ep_3623/frame_219244.png,states/ep_3623/state_219244.npy,images/ep_3623/frame_219249.png,states/ep_3623/state_219249.npy,actions/ep_3623/action_219244to219248.npy
CALVIN,robot,1st,images/ep_12474/frame_747734.png,states/ep_12474/state_747734.npy,images/ep_12474/frame_747739.png,states/ep_12474/state_747739.npy,actions/ep_12474/action_747734to747738.npy
CALVIN,robot,1st,images/ep_7813/frame_470000.png,states/ep_7813/state_470000.npy,images/ep_7813/frame_470005.png,states/ep_7813/state_470005.npy,actions/ep_7813/action_470000to470004.npy
CALVIN,robot,1st,images/ep_7181/frame_432089.png,states/ep_7181/state_432089.npy,images/ep_7181/frame_432094.png,states/ep_7181/state_432094.npy,actions/ep_7181/action_432089to432093.npy
CALVIN,robot,1st,images/ep_11227/frame_672522.png,states/ep_11227/state_672522.npy,images/ep_11227/frame_672527.png,states/ep_11227/state_672527.npy,actions/ep_11227/action_672522to672526.npy
CALVIN,robot,1st,images/ep_8707/frame_522249.png,states/ep_8707/state_522249.npy,images/ep_8707/frame_522254.png,states/ep_8707/state_522254.npy,actions/ep_8707/action_522249to522253.npy
CALVIN,robot,1st,images/ep_11268/frame_674784.png,states/ep_11268/state_674784.npy,images/ep_11268/frame_674789.png,states/ep_11268/state_674789.npy,actions/ep_11268/action_674784to674788.npy
CALVIN,robot,1st,images/ep_11853/frame_709521.png,states/ep_11853/state_709521.npy,images/ep_11853/frame_709526.png,states/ep_11853/state_709526.npy,actions/ep_11853/action_709521to709525.npy
CALVIN,robot,1st,images/ep_5155/frame_309781.png,states/ep_5155/state_309781.npy,images/ep_5155/frame_309786.png,states/ep_5155/state_309786.npy,actions/ep_5155/action_309781to309785.npy
CALVIN,robot,1st,images/ep_16658/frame_998716.png,states/ep_16658/state_998716.npy,images/ep_16658/frame_998721.png,states/ep_16658/state_998721.npy,actions/ep_16658/action_998716to998720.npy
CALVIN,robot,1st,images/ep_12203/frame_731133.png,states/ep_12203/state_731133.npy,images/ep_12203/frame_731138.png,states/ep_12203/state_731138.npy,actions/ep_12203/action_731133to731137.npy
CALVIN,robot,1st,images/ep_6070/frame_364527.png,states/ep_6070/state_364527.npy,images/ep_6070/frame_364532.png,states/ep_6070/state_364532.npy,actions/ep_6070/action_364527to364531.npy
CALVIN,robot,1st,images/ep_8674/frame_520174.png,states/ep_8674/state_520174.npy,images/ep_8674/frame_520179.png,states/ep_8674/state_520179.npy,actions/ep_8674/action_520174to520178.npy
CALVIN,robot,1st,images/ep_4014/frame_242933.png,states/ep_4014/state_242933.npy,images/ep_4014/frame_242938.png,states/ep_4014/state_242938.npy,actions/ep_4014/action_242933to242937.npy
CALVIN,robot,1st,images/ep_16555/frame_992458.png,states/ep_16555/state_992458.npy,images/ep_16555/frame_992463.png,states/ep_16555/state_992463.npy,actions/ep_16555/action_992458to992462.npy
CALVIN,robot,1st,images/ep_1471/frame_088562.png,states/ep_1471/state_088562.npy,images/ep_1471/frame_088567.png,states/ep_1471/state_088567.npy,actions/ep_1471/action_088562to088566.npy
CALVIN,robot,1st,images/ep_10432/frame_624986.png,states/ep_10432/state_624986.npy,images/ep_10432/frame_624991.png,states/ep_10432/state_624991.npy,actions/ep_10432/action_624986to624990.npy
CALVIN,robot,1st,images/ep_10385/frame_622229.png,states/ep_10385/state_622229.npy,images/ep_10385/frame_622234.png,states/ep_10385/state_622234.npy,actions/ep_10385/action_622229to622233.npy
CALVIN,robot,1st,images/ep_7647/frame_460172.png,states/ep_7647/state_460172.npy,images/ep_7647/frame_460177.png,states/ep_7647/state_460177.npy,actions/ep_7647/action_460172to460176.npy
CALVIN,robot,1st,images/ep_7904/frame_475648.png,states/ep_7904/state_475648.npy,images/ep_7904/frame_475653.png,states/ep_7904/state_475653.npy,actions/ep_7904/action_475648to475652.npy
CALVIN,robot,1st,images/ep_3690/frame_223283.png,states/ep_3690/state_223283.npy,images/ep_3690/frame_223288.png,states/ep_3690/state_223288.npy,actions/ep_3690/action_223283to223287.npy
CALVIN,robot,1st,images/ep_7323/frame_440623.png,states/ep_7323/state_440623.npy,images/ep_7323/frame_440628.png,states/ep_7323/state_440628.npy,actions/ep_7323/action_440623to440627.npy
CALVIN,robot,1st,images/ep_1375/frame_083145.png,states/ep_1375/state_083145.npy,images/ep_1375/frame_083150.png,states/ep_1375/state_083150.npy,actions/ep_1375/action_083145to083149.npy
CALVIN,robot,1st,images/ep_6559/frame_394173.png,states/ep_6559/state_394173.npy,images/ep_6559/frame_394178.png,states/ep_6559/state_394178.npy,actions/ep_6559/action_394173to394177.npy
CALVIN,robot,1st,images/ep_4571/frame_276052.png,states/ep_4571/state_276052.npy,images/ep_4571/frame_276057.png,states/ep_4571/state_276057.npy,actions/ep_4571/action_276052to276056.npy
CALVIN,robot,1st,images/ep_8069/frame_485301.png,states/ep_8069/state_485301.npy,images/ep_8069/frame_485306.png,states/ep_8069/state_485306.npy,actions/ep_8069/action_485301to485305.npy
CALVIN,robot,1st,images/ep_14328/frame_859193.png,states/ep_14328/state_859193.npy,images/ep_14328/frame_859198.png,states/ep_14328/state_859198.npy,actions/ep_14328/action_859193to859197.npy
CALVIN,robot,1st,images/ep_8340/frame_500707.png,states/ep_8340/state_500707.npy,images/ep_8340/frame_500712.png,states/ep_8340/state_500712.npy,actions/ep_8340/action_500707to500711.npy
CALVIN,robot,1st,images/ep_8706/frame_522174.png,states/ep_8706/state_522174.npy,images/ep_8706/frame_522179.png,states/ep_8706/state_522179.npy,actions/ep_8706/action_522174to522178.npy
CALVIN,robot,1st,images/ep_12803/frame_767775.png,states/ep_12803/state_767775.npy,images/ep_12803/frame_767780.png,states/ep_12803/state_767780.npy,actions/ep_12803/action_767775to767779.npy
CALVIN,robot,1st,images/ep_11667/frame_698454.png,states/ep_11667/state_698454.npy,images/ep_11667/frame_698459.png,states/ep_11667/state_698459.npy,actions/ep_11667/action_698454to698458.npy
CALVIN,robot,1st,images/ep_16571/frame_993436.png,states/ep_16571/state_993436.npy,images/ep_16571/frame_993441.png,states/ep_16571/state_993441.npy,actions/ep_16571/action_993436to993440.npy
CALVIN,robot,1st,images/ep_11869/frame_710476.png,states/ep_11869/state_710476.npy,images/ep_11869/frame_710481.png,states/ep_11869/state_710481.npy,actions/ep_11869/action_710476to710480.npy
CALVIN,robot,1st,images/ep_17283/frame_1036511.png,states/ep_17283/state_1036511.npy,images/ep_17283/frame_1036516.png,states/ep_17283/state_1036516.npy,actions/ep_17283/action_1036511to1036515.npy
CALVIN,robot,1st,images/ep_2854/frame_172767.png,states/ep_2854/state_172767.npy,images/ep_2854/frame_172772.png,states/ep_2854/state_172772.npy,actions/ep_2854/action_172767to172771.npy
CALVIN,robot,1st,images/ep_3712/frame_224555.png,states/ep_3712/state_224555.npy,images/ep_3712/frame_224560.png,states/ep_3712/state_224560.npy,actions/ep_3712/action_224555to224559.npy
CALVIN,robot,1st,images/ep_8600/frame_515885.png,states/ep_8600/state_515885.npy,images/ep_8600/frame_515890.png,states/ep_8600/state_515890.npy,actions/ep_8600/action_515885to515889.npy
CALVIN,robot,1st,images/ep_11645/frame_697199.png,states/ep_11645/state_697199.npy,images/ep_11645/frame_697204.png,states/ep_11645/state_697204.npy,actions/ep_11645/action_697199to697203.npy
CALVIN,robot,1st,images/ep_7178/frame_431874.png,states/ep_7178/state_431874.npy,images/ep_7178/frame_431879.png,states/ep_7178/state_431879.npy,actions/ep_7178/action_431874to431878.npy
CALVIN,robot,1st,images/ep_13747/frame_824309.png,states/ep_13747/state_824309.npy,images/ep_13747/frame_824314.png,states/ep_13747/state_824314.npy,actions/ep_13747/action_824309to824313.npy
CALVIN,robot,1st,images/ep_8722/frame_523179.png,states/ep_8722/state_523179.npy,images/ep_8722/frame_523184.png,states/ep_8722/state_523184.npy,actions/ep_8722/action_523179to523183.npy
CALVIN,robot,1st,images/ep_17776/frame_1066230.png,states/ep_17776/state_1066230.npy,images/ep_17776/frame_1066235.png,states/ep_17776/state_1066235.npy,actions/ep_17776/action_1066230to1066234.npy
CALVIN,robot,1st,images/ep_17675/frame_1060158.png,states/ep_17675/state_1060158.npy,images/ep_17675/frame_1060163.png,states/ep_17675/state_1060163.npy,actions/ep_17675/action_1060158to1060162.npy
CALVIN,robot,1st,images/ep_13634/frame_817494.png,states/ep_13634/state_817494.npy,images/ep_13634/frame_817499.png,states/ep_13634/state_817499.npy,actions/ep_13634/action_817494to817498.npy
CALVIN,robot,1st,images/ep_10524/frame_630673.png,states/ep_10524/state_630673.npy,images/ep_10524/frame_630678.png,states/ep_10524/state_630678.npy,actions/ep_10524/action_630673to630677.npy
CALVIN,robot,1st,images/ep_8955/frame_537322.png,states/ep_8955/state_537322.npy,images/ep_8955/frame_537327.png,states/ep_8955/state_537327.npy,actions/ep_8955/action_537322to537326.npy
CALVIN,robot,1st,images/ep_2008/frame_120466.png,states/ep_2008/state_120466.npy,images/ep_2008/frame_120471.png,states/ep_2008/state_120471.npy,actions/ep_2008/action_120466to120470.npy
CALVIN,robot,1st,images/ep_14041/frame_841870.png,states/ep_14041/state_841870.npy,images/ep_14041/frame_841875.png,states/ep_14041/state_841875.npy,actions/ep_14041/action_841870to841874.npy
CALVIN,robot,1st,images/ep_1743/frame_104677.png,states/ep_1743/state_104677.npy,images/ep_1743/frame_104682.png,states/ep_1743/state_104682.npy,actions/ep_1743/action_104677to104681.npy
CALVIN,robot,1st,images/ep_3354/frame_202546.png,states/ep_3354/state_202546.npy,images/ep_3354/frame_202551.png,states/ep_3354/state_202551.npy,actions/ep_3354/action_202546to202550.npy
CALVIN,robot,1st,images/ep_6654/frame_399933.png,states/ep_6654/state_399933.npy,images/ep_6654/frame_399938.png,states/ep_6654/state_399938.npy,actions/ep_6654/action_399933to399937.npy
CALVIN,robot,1st,images/ep_206/frame_012610.png,states/ep_206/state_012610.npy,images/ep_206/frame_012615.png,states/ep_206/state_012615.npy,actions/ep_206/action_012610to012614.npy
CALVIN,robot,1st,images/ep_9771/frame_586216.png,states/ep_9771/state_586216.npy,images/ep_9771/frame_586221.png,states/ep_9771/state_586221.npy,actions/ep_9771/action_586216to586220.npy
CALVIN,robot,1st,images/ep_7642/frame_459905.png,states/ep_7642/state_459905.npy,images/ep_7642/frame_459910.png,states/ep_7642/state_459910.npy,actions/ep_7642/action_459905to459909.npy
CALVIN,robot,1st,images/ep_920/frame_055130.png,states/ep_920/state_055130.npy,images/ep_920/frame_055135.png,states/ep_920/state_055135.npy,actions/ep_920/action_055130to055134.npy
CALVIN,robot,1st,images/ep_5709/frame_342214.png,states/ep_5709/state_342214.npy,images/ep_5709/frame_342219.png,states/ep_5709/state_342219.npy,actions/ep_5709/action_342214to342218.npy
CALVIN,robot,1st,images/ep_17691/frame_1061123.png,states/ep_17691/state_1061123.npy,images/ep_17691/frame_1061128.png,states/ep_17691/state_1061128.npy,actions/ep_17691/action_1061123to1061127.npy
CALVIN,robot,1st,images/ep_16095/frame_964426.png,states/ep_16095/state_964426.npy,images/ep_16095/frame_964431.png,states/ep_16095/state_964431.npy,actions/ep_16095/action_964426to964430.npy
CALVIN,robot,1st,images/ep_2433/frame_146637.png,states/ep_2433/state_146637.npy,images/ep_2433/frame_146642.png,states/ep_2433/state_146642.npy,actions/ep_2433/action_146637to146641.npy
CALVIN,robot,1st,images/ep_1884/frame_112953.png,states/ep_1884/state_112953.npy,images/ep_1884/frame_112958.png,states/ep_1884/state_112958.npy,actions/ep_1884/action_112953to112957.npy
CALVIN,robot,1st,images/ep_2196/frame_131974.png,states/ep_2196/state_131974.npy,images/ep_2196/frame_131979.png,states/ep_2196/state_131979.npy,actions/ep_2196/action_131974to131978.npy
CALVIN,robot,1st,images/ep_4210/frame_254759.png,states/ep_4210/state_254759.npy,images/ep_4210/frame_254764.png,states/ep_4210/state_254764.npy,actions/ep_4210/action_254759to254763.npy
CALVIN,robot,1st,images/ep_3490/frame_211039.png,states/ep_3490/state_211039.npy,images/ep_3490/frame_211044.png,states/ep_3490/state_211044.npy,actions/ep_3490/action_211039to211043.npy
CALVIN,robot,1st,images/ep_16656/frame_998591.png,states/ep_16656/state_998591.npy,images/ep_16656/frame_998596.png,states/ep_16656/state_998596.npy,actions/ep_16656/action_998591to998595.npy
CALVIN,robot,1st,images/ep_7218/frame_434246.png,states/ep_7218/state_434246.npy,images/ep_7218/frame_434251.png,states/ep_7218/state_434251.npy,actions/ep_7218/action_434246to434250.npy
CALVIN,robot,1st,images/ep_10859/frame_651069.png,states/ep_10859/state_651069.npy,images/ep_10859/frame_651074.png,states/ep_10859/state_651074.npy,actions/ep_10859/action_651069to651073.npy
CALVIN,robot,1st,images/ep_7231/frame_434990.png,states/ep_7231/state_434990.npy,images/ep_7231/frame_434995.png,states/ep_7231/state_434995.npy,actions/ep_7231/action_434990to434994.npy
CALVIN,robot,1st,images/ep_6521/frame_391828.png,states/ep_6521/state_391828.npy,images/ep_6521/frame_391833.png,states/ep_6521/state_391833.npy,actions/ep_6521/action_391828to391832.npy
CALVIN,robot,1st,images/ep_5238/frame_314685.png,states/ep_5238/state_314685.npy,images/ep_5238/frame_314690.png,states/ep_5238/state_314690.npy,actions/ep_5238/action_314685to314689.npy
CALVIN,robot,1st,images/ep_10390/frame_622540.png,states/ep_10390/state_622540.npy,images/ep_10390/frame_622545.png,states/ep_10390/state_622545.npy,actions/ep_10390/action_622540to622544.npy
CALVIN,robot,1st,images/ep_428/frame_026129.png,states/ep_428/state_026129.npy,images/ep_428/frame_026134.png,states/ep_428/state_026134.npy,actions/ep_428/action_026129to026133.npy
CALVIN,robot,1st,images/ep_13864/frame_831345.png,states/ep_13864/state_831345.npy,images/ep_13864/frame_831350.png,states/ep_13864/state_831350.npy,actions/ep_13864/action_831345to831349.npy
CALVIN,robot,1st,images/ep_8629/frame_517582.png,states/ep_8629/state_517582.npy,images/ep_8629/frame_517587.png,states/ep_8629/state_517587.npy,actions/ep_8629/action_517582to517586.npy
CALVIN,robot,1st,images/ep_8480/frame_508970.png,states/ep_8480/state_508970.npy,images/ep_8480/frame_508975.png,states/ep_8480/state_508975.npy,actions/ep_8480/action_508970to508974.npy
CALVIN,robot,1st,images/ep_11368/frame_680645.png,states/ep_11368/state_680645.npy,images/ep_11368/frame_680650.png,states/ep_11368/state_680650.npy,actions/ep_11368/action_680645to680649.npy
CALVIN,robot,1st,images/ep_17678/frame_1060328.png,states/ep_17678/state_1060328.npy,images/ep_17678/frame_1060333.png,states/ep_17678/state_1060333.npy,actions/ep_17678/action_1060328to1060332.npy
CALVIN,robot,1st,images/ep_3159/frame_190964.png,states/ep_3159/state_190964.npy,images/ep_3159/frame_190969.png,states/ep_3159/state_190969.npy,actions/ep_3159/action_190964to190968.npy
CALVIN,robot,1st,images/ep_9850/frame_590878.png,states/ep_9850/state_590878.npy,images/ep_9850/frame_590883.png,states/ep_9850/state_590883.npy,actions/ep_9850/action_590878to590882.npy
CALVIN,robot,1st,images/ep_9569/frame_574103.png,states/ep_9569/state_574103.npy,images/ep_9569/frame_574108.png,states/ep_9569/state_574108.npy,actions/ep_9569/action_574103to574107.npy
